[2024-11-25 23:03:21.758] [info]  DiscordSplash.signalReady
[2024-11-25 23:03:21.793] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2024-11-25 23:03:21.794] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2024-11-25 23:03:21.795] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2024-11-25 23:03:21.795] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2024-11-25 23:03:21.796] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2024-11-25 23:03:21.796] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2024-11-25 23:03:21.796] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2024-11-25 23:03:21.796] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2024-11-25 23:03:21.796] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2024-11-25 23:03:21.796] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2024-11-25 23:03:21.797] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2024-11-25 23:03:21.797] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2024-11-25 23:03:21.797] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2024-11-25 23:03:21.797] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2024-11-25 23:03:22.207] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2024-11-25 23:03:22.207] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2024-11-25 23:03:22.541] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2024-11-25 23:03:22.541] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2024-11-25 23:03:22.549] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2024-11-25 23:03:22.549] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2024-11-25 23:03:22.569] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2024-11-25 23:03:22.570] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2024-11-25 23:03:22.574] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2024-11-25 23:03:22.574] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2024-11-25 23:03:22.591] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2024-11-25 23:03:22.591] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2024-11-25 23:03:22.601] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":6}
[2024-11-25 23:03:22.602] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":6}
[2024-11-25 23:03:22.605] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2024-11-25 23:03:22.605] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2024-11-25 23:03:22.611] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":8}
[2024-11-25 23:03:22.611] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":8}
[2024-11-25 23:03:22.615] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":9}
[2024-11-25 23:03:22.615] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":9}
[2024-11-25 23:03:22.618] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":10}
[2024-11-25 23:03:22.618] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":10}
[2024-11-25 23:03:22.627] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":11}
[2024-11-25 23:03:22.628] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":11}
[2024-11-25 23:03:22.638] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":12}
[2024-11-25 23:03:22.638] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":12}
[2024-11-25 23:03:22.665] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":13}
[2024-11-25 23:03:22.666] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":13}
[2024-11-25 23:03:22.669] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":14}
[2024-11-25 23:03:22.669] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":14}
[2024-11-25 23:03:22.673] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":15}
[2024-11-25 23:03:22.673] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":15}
[2024-11-25 23:03:22.683] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":16}
[2024-11-25 23:03:22.683] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":16}
[2024-11-25 23:03:22.686] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":17}
[2024-11-25 23:03:22.686] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":17}
[2024-11-25 23:03:22.706] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":19}
[2024-11-25 23:03:22.707] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":19}
[2024-11-25 23:03:22.708] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":20}
[2024-11-25 23:03:22.708] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":20}
[2024-11-25 23:03:22.724] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":21}
[2024-11-25 23:03:22.724] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":21}
[2024-11-25 23:03:22.730] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":22}
[2024-11-25 23:03:22.730] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":22}
